condition,lambda_language_alignment,seed,language,task_type,decoding_rule,n,target_mean,target_median,prediction_mean,mae,rmse,mse,mean_baseline_mae,mean_baseline_rmse,median_baseline_mae,median_baseline_rmse
align030,0.3,5,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.9471220795504267,0.5392642257869696,0.7758274354085752,0.6019082095326469,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,5,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.942983563075784,0.5257604058491979,0.7538998921725432,0.5683650474177722,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,6,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.9301930633178795,0.5456435827630441,0.8002162052638033,0.6403459751668014,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,6,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8994173109460579,0.5358851658952327,0.7950394857743848,0.6320877839403981,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,6,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.960968815689701,0.5554019996308556,0.8053596503384092,0.6486041663932046,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,7,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.8471286247232964,0.5405206394208305,0.8156887248347735,0.6653480958225788,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,7,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8267001043580218,0.5361269916772502,0.8172555945637597,0.6679067068457645,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,7,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8675571450885711,0.5449142871644107,0.8141188394819231,0.6627894847993933,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,8,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.9170129410922527,0.5456430129281922,0.8127359475951383,0.6605397205133674,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,8,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.9509787925097652,0.5341722379534191,0.7959000524236848,0.6334568934480242,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,8,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8830470896747402,0.5571137879029653,0.8292300932664651,0.6876225475787104,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,9,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.8615674178900389,0.5582109074400005,0.8312235382627153,0.6909325705619878,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,9,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8656965328894818,0.5598611315927458,0.8256718975325997,0.6817340823750839,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align030,0.3,9,en,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8574383028905959,0.5565606832872552,0.8367383454514868,0.7001310587488917,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align100,1.0,0,all,regression,none_in_implementation,1052.0,0.9866920152091255,0.0,0.8624931371597283,0.6038459770792224,0.9723235298772318,0.9454130467529201,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
align100,1.0,0,de,regression,none_in_implementation,526.0,0.9866920152091255,0.0,0.8657333919629738,0.5926615940088215,0.9623573855463307,0.926131737515569,1.3431016784975929,2.022171236495096,0.9866920152091255,2.250052808843728
